Population,n,prop_any_nonnative,mean_nonnative_genome,genomically_extinct
Basin_Cr,5,0,0,FALSE
Bear_17,9,0,0,FALSE
Bear_20,96,0.9791666666666666,0.037977262656249997,FALSE
Bear_21,95,0.9894736842105263,0.046567124231578945,FALSE
Bear_24,97,0,0,FALSE
Beetle,30,0,0,FALSE
Bobtail,2,1,0.5800409584999999,TRUE
Bramlet_Lk,30,1,0.5846611108,TRUE
Bunker_Hill,22,0,0,FALSE
Burnt,29,0,0,FALSE
Cable,28,0,0,FALSE
Callahan,1,1,0.107727904,FALSE
Callahan_NF,26,1,0.11621659973076923,FALSE
Callahan_SF,29,1,0.07291649844827586,FALSE
Cedar_1,29,1,0.7294767926551724,TRUE
Cedar_2,30,1,0.7225429657,TRUE
Cedar_3,30,1,0.5496658816333333,TRUE
Cedar_4,30,1,0.3457657397,FALSE
Dunn,17,1,0.6655548880529412,TRUE
EF_Yaak_20,101,0,0,FALSE
EF_Yaak_21,106,0,0,FALSE
EF_Yaak_22,113,0,0,FALSE
EF_Yaak_24,110,0,0,FALSE
Fisher_Silver_Butte,5,1,0.2099521222,FALSE
Fisher_Wolf,13,1,0.42196058038461537,FALSE
Flattail,16,0,0,FALSE
Flower,29,0.896551724137931,0.06383877279310345,FALSE
Geiger_Lk_Lo,28,1,0.43479079146428573,FALSE
Geiger_Lk_Up,29,1,0.43497038637931035,FALSE
Geiger_Lo,15,0.4666666666666667,0.008131172,FALSE
Geiger_Lo_2,15,0.26666666666666666,0.037708152466666665,FALSE
Goat_R,2,1,0.0641873095,FALSE
Grizzly_Yaak,30,0,0,FALSE
Howard_Lk,18,1,0.5255571040555556,TRUE
Iron,28,0.07142857142857142,0.00377248825,FALSE
Kikomum,24,1,0.14459488454166666,FALSE
Kilbrennen,30,1,0.12329568056666666,FALSE
Koocanusa_Res_07,1,1,0.124611301,FALSE
Koocanusa_Res_09,1,1,0.010946469,FALSE
Koocanusa_Res_15,18,1,0.087634606,FALSE
Koocanusa_Res_16,25,1,0.11120313596,FALSE
Koocanusa_Res_17,11,1,0.11197741627272727,FALSE
Koocanusa_Res_18,6,1,0.082059017,FALSE
Koocanusa_Res_19,12,1,0.04482710633333333,FALSE
Koocanusa_Res_20,3,1,0.033703207,FALSE
Koocanusa_Res_22,9,1,0.08475051722222222,FALSE
Kootenai_R,11,1,0.7027963875454546,TRUE
Kootenai_R_15,20,1,0.4150019142,FALSE
Kootenai_R_16,9,1,0.4267349607777778,FALSE
Kootenai_R_17,1,1,0.714065704,TRUE
Kootenai_R_20,1,1,0.032679858,FALSE
Kootenai_R_BYF,9,1,0.30997651677777777,FALSE
Lap,30,0,0,FALSE
Libby_Dam_11,25,1,0.676502139244,TRUE
Little_Cherry,27,0,0,FALSE
Lo_Baree,28,0.75,0.031899830428571425,FALSE
Lo_Bramlet,14,0.07142857142857142,7.974636428571428e-4,FALSE
Lo_Bull_R_07,14,0.5,0.09470953778571428,FALSE
Lo_Bull_R_15,15,0.13333333333333333,0.0033532452666666665,FALSE
Lo_Cedar_Lk,37,1,0.7417801308108108,TRUE
Lo_Elk_R_04,16,0.375,0.06992304756250001,FALSE
Lo_Elk_R_12,2,0.5,0.026704662,FALSE
Lo_Elk_R_16,18,0.2777777777777778,0.016613253116666667,FALSE
Lo_Gold_03,16,0.1875,0.0684341215625,FALSE
Lo_Gold_16,20,0.2,0.01961154095,FALSE
Lo_Granite,29,0.8620689655172413,0.05307332678275862,FALSE
Lo_Libby,13,1,0.6628477843846153,TRUE
Lo_Parmenter,30,1,0.5093490538,TRUE
Lo_Sand_04,7,0.7142857142857143,0.12827676142857145,FALSE
Lo_Sand_15,20,0.45,0.10784530975,FALSE
Lo_Snowshoe,25,1,0.05309346064,FALSE
Lo_StMarys_R_14,24,0.5833333333333334,0.03638137170833333,FALSE
Lo_StMarys_R_20,30,0.6,0.0257651534,FALSE
Lo_Yaak_R,9,1,0.16214490711111113,FALSE
Loon_Lk,6,1,0.3579139528333333,FALSE
LostFk_SeventeenMile,17,0,0,FALSE
Mid_Cody_Lk,10,1,0.9617685277,TRUE
Minor_Lk,24,1,0.924151951375,TRUE
Mt_Henry_Lk,30,1,0.1033710087,FALSE
No,30,0,0,FALSE
OBrien_Up,14,1,0.31669612014285714,FALSE
Parmenter_AB,29,1,0.0792294531724138,FALSE
Parmenter_BB,30,1,0.2734131913666667,FALSE
Poorman,26,0.5384615384615384,0.0074006035,FALSE
Porcupine_Fisher,30,0.2,0.015341024466666667,FALSE
Porcupine_LakeCr,26,0.34615384615384615,0.005183270153846154,FALSE
Quartz_Lo,6,1,0.580211149,TRUE
Ramsey,26,0.15384615384615385,0.001171026576923077,FALSE
S_Fish_Lk,26,1,0.6354935965384616,TRUE
Seventeen_Mile,29,0.10344827586206896,0.0027452395517241377,FALSE
Silverbow,29,0.10344827586206896,6.155694482758621e-4,FALSE
Stahl,84,0,0,FALSE
Star_Lo,5,1,0.5145025334,TRUE
Up_Bear_22,110,0,0,FALSE
Up_Bramlet,16,0.125,7.17120875e-4,FALSE
Up_Cedar_Lk,18,1,0.7495032701111112,TRUE
Up_Granite,30,0.3333333333333333,0.0021874899666666668,FALSE
Up_Parmenter,30,1,0.28273650606666667,FALSE
Up_Snowshoe,27,1,0.11663002344444444,FALSE
Weigle,8,0,0,FALSE
White_R,6,0.6666666666666666,0.029900014666666665,FALSE
Wolf_17,10,0,0,FALSE
Wolf_20,97,0,0,FALSE
Wolf_24,131,0,0,FALSE
